Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
732,Buckeye Bend,NA,32.1,4.3,5.5,NA,0.9,NA
733,Buckeye Bend,NA,NA,NA,10.5,NA,1.1,NA
734,Buckeye Bend,30,62.6,6.2,6.1,NA,1.1,NA
735,Buckeye Bend,27,NA,6.4,NA,NA,1.5,NA
736,Buckeye Bend,NA,NA,6.3,NA,NA,1.1,NA
737,Buckeye Bend,31,NA,6.8,NA,NA,1.3,NA
738,Buckeye Bend,NA,NA,NA,5,NA,1.2,NA
739,Buckeye Bend,NA,32.6,3.6,4.3,NA,1.6,NA
740,Buckeye Bend,NA,NA,5.7,NA,NA,0.8,NA
741,Buckeye Bend,25,37.6,5.8,6.7,NA,1.1,NA
748,Fouts Village,NA,NA,6.5,NA,NA,1,NA
751,Fouts Village,NA,NA,6.3,NA,NA,1.4,NA
752,Fouts Village,NA,NA,5.5,NA,NA,1.1,NA
756,Fouts Village,NA,NA,5.6,NA,NA,NA,NA
757,Fouts Village,NA,NA,6,NA,NA,2,NA
758,Fouts Village,NA,NA,NA,NA,NA,1.3,NA
759,Fouts Village,NA,NA,5.5,NA,NA,1.3,NA
760,Fouts Village,NA,NA,NA,NA,NA,1.1,NA
761,Fouts Village,NA,NA,7.2,NA,NA,1.5,NA
762,Fouts Village,NA,NA,5.7,NA,NA,1.3,NA
763,Fouts Village,NA,NA,5.4,NA,NA,1,NA
764,Emmons,28,46.6,7.8,7.3,NA,0.8,NA
765,Emmons,NA,NA,5.9,NA,NA,2.7,NA
766,Emmons,NA,40.2,6,NA,NA,0.5,NA
810,Larson,38,55.2,7.2,7.1,145,NA,NA
811,Larson,24,26.3,7,8.7,155,NA,NA
812,Larson,27,44,5.4,5.7,146,0.7,NA
813,Larson,32,71.5,5.5,7.2,156,1.1,NA
814,Larson,29,61.2,6.3,4.5,151,1,NA
815,Larson,NA,66.4,6.3,6,NA,0.7,NA
816,Larson,34,63.2,8.1,9.1,137,2,NA
817,Larson,37,52.1,7.7,5,143,1.6,NA
818,Larson,34,51.5,7.8,4.9,130,NA,NA
819,Larson,33,NA,7.3,NA,NA,1,NA
820,Larson,31,66.8,5.3,7.3,142,1.6,NA
821,Larson,NA,45.2,5.1,5.6,NA,NA,NA
822,Larson,38,55.5,9.8,8.8,155,1,NA
823,Larson,28,28.5,6.6,7.2,150,1.1,NA
824,Larson,32,49.2,5.1,6,148,0.8,NA
825,Larson,26,59.4,8.4,NA,NA,1.1,NA
826,Larson,33,58.2,8,6.3,NA,0.6,NA
827,Larson,31,48.2,6.8,7,146,1.6,NA
828,Larson,27,49.8,7.1,7,140,1.5,NA
