Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
371,Crable,32,111.4,7.4,5.8,154,0.9,NA
412,Star Bridge,NA,NA,NA,5.8,NA,0.8,NA
413,Star Bridge,22,57.7,7,5.3,150,0.8,NA
414,Star Bridge,29,64.6,7,5.2,155,1.4,NA
415,Star Bridge,27,79.4,7.3,7.2,NA,1,NA
416,Star Bridge,26,NA,5.4,NA,NA,0.09,NA
417,Star Bridge,NA,NA,NA,8.6,NA,1.4,NA
418,Star Bridge,NA,NA,NA,8.5,NA,1.2,NA
419,Star Bridge,26,NA,7.6,NA,NA,0.7,NA
420,Star Bridge,24,70,4.6,7,150,0.5,NA
421,Star Bridge,25,NA,6.5,NA,NA,1,NA
422,Star Bridge,29,NA,7.5,NA,NA,1.2,NA
423,Star Bridge,26,59,6.2,6.9,147,1,NA
424,Star Bridge,28,74.5,7.1,8.4,146,0.7,NA
425,Star Bridge,30,80,5.8,7.5,137,0.9,NA
426,Star Bridge,NA,52.2,6.5,5.8,NA,1,NA
427,Star Bridge,23,56.3,6.5,8.4,150,0.8,NA
428,Star Bridge,19,47.4,8.1,6.8,150,NA,NA
429,Star Bridge,NA,56.2,8.3,NA,NA,0.9,NA
430,Star Bridge,24,NA,9.4,NA,NA,0.7,NA
431,Star Bridge,25,NA,7.1,NA,NA,0.7,NA
432,Star Bridge,NA,NA,6.8,NA,NA,1.1,NA
433,Star Bridge,26,NA,7.5,NA,NA,1,NA
434,Star Bridge,NA,NA,9.4,NA,NA,0.9,NA
435,Star Bridge,NA,NA,NA,7.6,NA,0.8,NA
436,Star Bridge,NA,NA,7.8,NA,NA,0.9,NA
437,Star Bridge,24,NA,7.2,NA,NA,1,NA
438,Star Bridge,NA,NA,NA,9.5,NA,0.9,NA
439,Star Bridge,NA,NA,6.7,NA,NA,1.7,NA
440,Star Bridge,27,NA,6.9,NA,NA,1.3,NA
441,Star Bridge,23,NA,7.9,NA,NA,1,NA
442,Star Bridge,NA,NA,9,NA,NA,0.8,NA
443,Star Bridge,20,NA,5,NA,NA,0.8,NA
444,Star Bridge,NA,NA,6,NA,NA,0.9,NA
445,Star Bridge,NA,40.1,5.6,NA,NA,2,NA
446,Star Bridge,NA,41.2,5.9,NA,NA,1.1,NA
447,Star Bridge,NA,71.3,7.6,NA,NA,1.2,NA
448,Star Bridge,24,NA,4.8,NA,NA,1.2,NA
449,Star Bridge,NA,80.5,5.8,NA,NA,NA,NA
450,Star Bridge,NA,NA,9.3,NA,NA,1,NA
451,Star Bridge,20,NA,5.1,NA,NA,1,NA
452,Star Bridge,NA,38.2,6.3,3.8,NA,1.2,NA
453,Star Bridge,18,42.9,5,4.7,151,0.7,NA
454,Star Bridge,27,NA,9.2,NA,NA,1.5,NA
455,Star Bridge,NA,NA,8.3,NA,NA,1.6,NA
456,Star Bridge,NA,NA,9.2,NA,NA,1,NA
457,Star Bridge,24,62.1,5.6,7.6,NA,1.6,NA
458,Star Bridge,NA,52.8,5.3,5.9,NA,1,NA
459,Star Bridge,27,NA,8.8,NA,NA,1.3,NA
460,Star Bridge,NA,70.6,5.2,6.3,NA,0.6,NA
461,Star Bridge,23,54.7,6.2,8.1,149,0.8,NA
462,Star Bridge,25,72.8,9.1,8.5,155,0.5,NA
463,Star Bridge,20,60.5,6.8,7.5,NA,0.7,NA
464,Star Bridge,28,NA,6.1,NA,NA,1.3,NA
465,Star Bridge,29,80.8,5.6,6.4,147,1.1,NA
466,Star Bridge,NA,84.3,5.9,7.2,141,0.9,NA
467,Star Bridge,25,NA,6.9,NA,NA,0.8,NA
468,Star Bridge,29,60.7,7,NA,149,0.9,NA
469,Star Bridge,NA,63.9,6,7.7,NA,0.8,NA
470,Star Bridge,23,59.6,7.1,4.4,152,0.8,NA
471,Star Bridge,24,NA,5.8,NA,NA,1.2,NA
472,Star Bridge,17,45.6,5,NA,143,0.6,NA
473,Star Bridge,NA,NA,NA,10.8,NA,0.4,NA
474,Star Bridge,16,32.8,6.1,4.2,140,1,NA
475,Star Bridge,31,65.2,6.5,6.1,143,1.2,NA
476,Star Bridge,NA,NA,8.4,NA,NA,1.2,NA
477,Star Bridge,28,67.9,6.1,5.4,144,1,NA
478,Star Bridge,25,58.9,6.9,6.4,142,0.8,NA
479,Star Bridge,28,69.2,8,6.9,139,1,NA
480,Star Bridge,21,48.2,4.9,NA,NA,1.1,NA
481,Star Bridge,NA,NA,NA,6.3,NA,1.1,NA
482,Star Bridge,NA,92.3,6.3,5.5,NA,1,NA
483,Star Bridge,NA,NA,5.4,7.2,NA,0.7,NA
484,Star Bridge,31,NA,7.7,NA,NA,NA,NA
485,Star Bridge,NA,NA,NA,10.1,NA,1.6,NA
486,Star Bridge,17,48.2,4.4,4.8,146,1,NA
529,Ten Mile Creek,18,41.4,6.5,7.3,NA,NA,NA
530,Ten Mile Creek,NA,95.6,8.7,NA,NA,NA,NA
